id,name,game_num,difficulty
1,Ingrid,GAME_1,8
1,Ingrid,GAME_2,8
1,Ingrid,GAME_3,7
1,Ingrid,GAME_4,2
1,Ingrid,GAME_5,7
2,Chhavi,GAME_1,7
2,Chhavi,GAME_2,3
2,Chhavi,GAME_3,1
2,Chhavi,GAME_4,9
2,Chhavi,GAME_5,6
3,Nav,GAME_1,3
3,Nav,GAME_2,8
3,Nav,GAME_3,8
3,Nav,GAME_4,9
3,Nav,GAME_5,9
4,Adi,GAME_1,6
4,Adi,GAME_2,7
4,Adi,GAME_3,4
4,Adi,GAME_4,3
4,Adi,GAME_5,5
5,Buz,GAME_1,2
5,Buz,GAME_2,6
5,Buz,GAME_3,3
5,Buz,GAME_4,4
5,Buz,GAME_5,5
6,Kieran,GAME_1,3
6,Kieran,GAME_2,4
6,Kieran,GAME_3,3
6,Kieran,GAME_4,6
6,Kieran,GAME_5,5
7,josh,GAME_1,4
7,josh,GAME_2,5
7,josh,GAME_3,7
7,josh,GAME_4,8
7,josh,GAME_5,7
8,Eli,GAME_1,4
8,Eli,GAME_2,7
8,Eli,GAME_3,3
8,Eli,GAME_4,6
8,Eli,GAME_5,8
9,Curi,GAME_1,9
9,Curi,GAME_2,8
9,Curi,GAME_3,9
9,Curi,GAME_4,7
9,Curi,GAME_5,3
10,Tamas,GAME_1,7
10,Tamas,GAME_2,4
10,Tamas,GAME_3,7
10,Tamas,GAME_4,8
10,Tamas,GAME_5,4
